listing_id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,comments
77592,"Charming, Cozy Rotterdam Center",Middelland,51.9149,4.46322,Entire rental unit,Entire home/apt,"We were extremely pleased with our stay at this apartment for the final week of our 3 week European vacation over the Christmas holidays. It was very spacious for the two of us with high ceilings and lots of windows at both the living and dining room ends of the apartment. The bedroom is located in between and can be totally isolated from the ambient light at night by heavy curtains separating it from the other rooms - making for a very quiet and restful sleep.  The kitchen (including a refrigerator, freezer, dishwasher, gas range and oven) and dining room (which seats 6) were very functional and offered us the opporutnity to host friends and family for dinner on several occasions. We made good use of the gas fireplace firtst thing in the morning and in the evening. The building was constructed in 1895 and is owned by the same people as Hotel Van Walsum next door giving us ready access to Jos, his brother and their staff for any of our needs. Several minor maintenance issues were attended to promptly. The location is a short walk from the main shopping and restaurant street in Rotterdam, Nieuw and Oud Binnenweg, and the number 6 tram stop at Mathenesserlaan which connects with central station and, in turn, the metro and train system connecting Rotterdam with den Haag, Amsterdam, Brussels and Schipol International airport. The apartment is just a short walk from Museum Park and the number 7 tram ride away from the Spido boat tour of Rotterdam harbour.
<br/>
<br/>Our son is working as an intern for an architectural firm in Rotterdam and was very appreciative of the design aspects of the building and the apartment, leading him to muse about the potential for a monthly rental for himself. We'll be back and wouldn't hesitate to recomend this to others."
77592,"Charming, Cozy Rotterdam Center",Middelland,51.9149,4.46322,Entire rental unit,Entire home/apt,"I stayed in the apartment for 5 days. The location is excellent place which is many restaurants, cafe and public transport. especially Coop supermarket and café Ari are great. Jos, the owner of the Hotel Van Walsum, is great hosts! It was helpful to have access to the hotel, as they and their staff were very friendly and responsive. I'm so busy for a few days. I have a breakfast at hotel Van Walsuem twice. It was wonderful for money - a lot of choice, a garden, large windows.
<br/>I would suggest it to everyone!"
77592,"Charming, Cozy Rotterdam Center",Middelland,51.9149,4.46322,Entire rental unit,Entire home/apt,"This is a great option if you need privacy and space. The apartment was really really lovely inside. Its in a nice location as well. This place is loosely connected to Hotel van Walsum. Jos and Anton own the hotel next door so you have access to the amenities of the hotel as well. 
<br/>
<br/>We got breakfast one morning which was an excellent dutch continental breakfast. We took advantage of the hotel bar and patio area on many of the nights during our stay. As an added bonus, there is an awesome cat who will come and hang out with you on the back patio and he loves to be pet. The night staff was great to chat with and, since it is a small hotel, it was a very relaxed environment. We were also able to get safe enclosed parking in the hotel parking lot which was very convenient.
<br/>
<br/>The nearby streets have a variety of great shops and food options. You can find anything from bread bakeries to organic turkish kebab. For those looking for the Coffee Shop experience, there are many great options nearby. My recommendation would be to go during the day.
<br/>
<br/>All in all, great place to stay, beautiful accomadations, and Jos was a great host."
77592,"Charming, Cozy Rotterdam Center",Middelland,51.9149,4.46322,Entire rental unit,Entire home/apt,"It was really nice experience. We've been looking for some typical dutch apartment with lots of space, huge windows and with a touch of good taste for the interior. We got just what we wanted."
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,"i stayed in the beautiful Loe's apartment in november and it was my first experience with air b n b ...never again i will look for hotels since the experience was totally positive 
<br/>the apartment is very well equipped,very well decorated and  all the details have been thought to make you confortable and the feeling is cozy as a house can give you but in the meanwhile also very professional as an hotel ...we had snacks, coffee and also a bottle of wine offered from loes and in the bathroom (wow a spa looking shower ) we where provided with slippers, plenty of new towels and first class hotel bathrobes..
<br/>the view from the apartment is on a beautiful garden and the location is just perfect for visiting rotterdam and many places are walking distance even if you also find tram stops and the metro station just outside the house...the area is also provided with lots of restaurants and places to buy food  
<br/>i would suggest loes's apartment definetively and she was very kind and helpful with us "
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,"Loes is likeable host. Great and fast contact, during the stay too!<br/>Her apartment is excellent localisation in same center of city, close restaurants, bars, attraction and all what you need else but there is still a quiet.<br/>Upon arrival a wine was waiting for us and a welcome information on the board in our language :)<br/>Apartment is equip with all things: from all dishes, glasses, pots, pans, towels to  new slippers too :). You do not have to need anything with you.<br/>In apartment are maps and brochures about the city. Loes sad abaout Rotterdam too, and we knew what we should see: Markethal, Erasmusbrug Gate, Cube Houses...<br/>Rotterdam is climatic, awesome city, without traffic jam, full of bicycles and tulips (april). You must see yourself.<br/>I will back here :)<br/>Thank you Loes!"
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,"Loes has created a funky,fabulous apartment for guests.  Great space for a couple. The apartment is very spacious, light and is in a very convenient location. Just minutes to the metro. Rotterdam is such an accessible city, the museums and architecture are wonderful. The streets around the apartment have good cafes bars and restaurants and great shopping too. Highly recommend Dependence Apartment."
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,"This apartment was very clean, beautiful and very homey, with great amenities. Location is perfect, close to the city center and public transport, but in a quiet street with a great garden view from the big windows. Host is great, very welcoming and forthcoming, offering practical solutions to questions and needs. Summarizing, I would absolutely recommend this place to everybody!"
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,The fabulous stylish apartment in the quite place of the Rotterdam despite of it is near the city center streets with a lot of things to do. Need to say Loes is super host!
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,Loes is an excellent host. She met us on arrival and went out of her way to help us with some unusual questions and requests. A delightful person. <br/>The place is surprisingly spacious and comfortable for the cost. Highly recommended
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,"Very nice apartment, with beautiful big windows. Great location, very quiet, and a fantastic bathroom. Apartment is very large and comfortable."
101526,Apartment Dependance Rotterdam,Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,"What a fabulous stay in Loes' apartment! It's the perfect base from which to explore Rotterdam and beyond.<br/>The metro station is even closer than it appears on the map, most have multiple entrances, this one being a just a 30 second walk from the apartment. From here you can whizz into the centre or out to gorgeous Delfshaven or Schiedam (among other places) but the city is also wonderfully walkable! Loes' apartment is so well located, it was lovely to stroll in any direction, and when first arriving, is a simple 15 minute walk from Rotterdam Centraal.<br/>The apartment itself is a delight, exceptionally comfortable with everything you'd expect from a top host and accommodation. Loes is a superb host and made clear she was on hand throughout our stay should we have needed her at any point, and made sure of welcoming us in person on our first day in the city. <br/>We highly recommend the apartment and hope to return one day to explore even more of Rotterdam! Hartelijk bedankt Loes! 🙂"
539905,Sunny garden apt in Kralingen/R'dam,Kralingen Oost,51.92292,4.51435,Entire condo,Entire home/apt,"I strongly recommend this apartment in which I lived for almost 2 months. It is located in Kralingen, probably the best neighborhood of R'dam with its very safe, quiet and peaceful surroundings, parks ponds and easy access to the city center. (7 min by  tram). As a postdoctoral fellow at Erasmus University, the location was simply perfect (fifteen minutes walk from the campus).  On Lutshofstraat, you will find some local shops and gourmet-type, fine  shops, restaurants and cafés. There is also a large park Kralingen Bos nearby where you can jog around a nice lake with sailboats.
<br/>
<br/>The apartment is clean, sunny, furnished with all the furniture you need for a short or long stay (stove, oven, washing machine, flat screen TV, Ipod dock station, Wi-Fi Internet). The highlight of the flat is undoubtedly the sunny private garden where you can have a coffee, meal or simply relax and read your newspaper.
<br/>
<br/>The guest Michael was very thoughtful. He made a long distance call to talk to me and make sure the apartment will meet all my needs. He gave me a very warm welcome the first day and the fridge and pantry already had the essentials to start it (milk, fruits, cookies, some wine and beer)!
<br/>So if you want to stay in a quiet place and enjoy all R'dam's attractions at the same time, this is the perfect place! I enjoyed each day of my stay there and hope to come back soon!"
539905,Sunny garden apt in Kralingen/R'dam,Kralingen Oost,51.92292,4.51435,Entire condo,Entire home/apt,"Michael rented his appartment for a longer period to us. Great place, quiet neighbourhood while still being very well located near the center of Rotterdam and the stunning view of the Maas river.
<br/>
<br/>Michael is very flexible and service minded, having a local contact for all questions. "
539905,Sunny garden apt in Kralingen/R'dam,Kralingen Oost,51.92292,4.51435,Entire condo,Entire home/apt,"Our host met us at the arranged time and showed us around the apartment and answered our questions about nearby amenities and made us feel very welcome. The apartment was as described in the listing, it is a good sunny space and met our needs perfectly. We were cycle touring in the Netherlands and required somewhere in Rotterdam on the ground floor of a building and where we could park our bikes off the street, and this was possible in the apartment. There is a good selection of food shops and two supermarkets about five minutes walk from the apartment. The apartment is close to a tram line which has a frequent service to the centre of Rotterdam and goes past Rotterdam Centraal railway station"
539905,Sunny garden apt in Kralingen/R'dam,Kralingen Oost,51.92292,4.51435,Entire condo,Entire home/apt,"Michaels Wohnung ist sehr angenehm und ausgestattet mit schönen Gegenstände und Details. Die Wohnung hat Charme. Der Garten ist ein Highlight. Das Wohnzimmer hat Südlage, sehr schön."
